83.72,83.7
410.90,410.9
46.99,46.9
115.05,115.0
369.74,369.7
528.79,528.7
774.4,774
359.2,359
379.0,379
E003.1,E003
E995.4,E995
14.7,14
83.82,83.8
915.3,915
862.9,862
017.16,017.1
E952.0,E952
183,179-189.99
070.2,070
427.9,427
784.92,784.9
447.7,447
333.72,333.7
E009.1,E009
017.46,017.4
711.05,711.0
01.1,01
537,530-539.99
774.7,774
758.39,758.3
644.1,644
618.83,618.8
618.81,618.8
958.93,958.9
289.83,289.8
E917.4,E917
E003,E001-E030.9
77.05,77.0
281.2,281
V71.3,V71
21.29,21.2
E009.3,E009
E951.8,E951
89.15,89.1
945.51,945.5
763.4,763
295.91,295.9
846,840-848.99
346.1,346
481,480-488.99
V25.1,V25
008.1,008
348.2,348
91.85,91.8
V60.0,V60
172,170-176.99
79.1,79
861.02,861.0
861.00,861.0
359.5,359
E801.2,E801
873.50,873.5
087.9,087
695.56,695.5
482.81,482.8
988,980-989.99
85.50,85.5
V90.10,V90.1
E906,E900-E909.9
334.8,334
38.6,38
20.4,20
010.85,010.8
V45.76,V45.7
00.3,00-00.99
873.1,873
96.58,96.5
83.85,83.8
V02.5,V02
716.18,716.1
93.97,93.9
011.06,011.0
209.73,209.7
V64.08,V64.0
68.22,68.2
992.4,992
941.23,941.2
972.6,972
E872.1,E872
575.1,575
864.03,864.0
209.71,209.7
E015,E001-E030.9
836.53,836.5
836.51,836.5
92.13,92.1
643.8,643
14.11,14.1
766,764-779.99
663.6,663
246.3,246
V61.07,V61.0
287.49,287.4
26,21-29.99
823.41,823.4
861.32,861.3
712.31,712.3
410.12,410.1
81.74,81.7
410.10,410.1
750.22,750.2
27.61,27.6
300.0,300
959.01,959.0
46.91,46.9
024,020-027.99
V51.8,V51
872.62,872.6
668.12,668.1
668.10,668.1
862.1,862
362.57,362.5
V04.82,V04.8
995.5,995
909.3,909
372.01,372.0
099.3,099
674.20,674.2
564.1,564
853.05,853.0
224.0,224
853.03,853.0
38.69,38.6
88.35,88.3
815.12,815.1
961.6,961
676.30,676.3
429,420-429.99
345.40,345.4
187.8,187
383.31,383.3
524.23,524.2
235.3,235
202.24,202.2
03.72,03.7
E871.9,E871
438.82,438.8
00.23,00.2
879.5,879
V25.4,V25
68.25,68.2
34.24,34.2
788.2,788
789.36,789.3
V05.9,V05
202.56,202.5
87.42,87.4
202.54,202.5
162.2,162
54.94,54.9
879.8,879
11.75,11.7
V85.23,V85.2
45.76,45.7
885.0,885
100-104.99,001-139.99
803.91,803.9
00.83,00.8
637.32,637.3
942.4,942
77.30,77.3
18.3,18
75.32,75.3
22.01,22.0
80.0,80
41.31,41.3
527.2,527
377.23,377.2
341.21,341.2
930.8,930
533.3,533
13.8,13
491.0,491
655.7,655
995.8,995
635.9,635
567.38,567.3
801.49,801.4
098.82,098.8
754.50,754.5
V82.9,V82
916.0,916
E852.8,E852
704.41,704.4
375.41,375.4
375.43,375.4
17.43,17.4
327.14,327.1
938,930-939.99
017.63,017.6
624.9,624
250.00,250.0
590.10,590.1
65.89,65.8
803.03,803.0
295.22,295.2
209.02,209.0
209.00,209.0
803.05,803.0
69.52,69.5
298.1,298
52.99,52.9
V88.2,V88
403.0,403
911.6,911
074.0,074
95.45,95.4
V87.42,V87.4
801.79,801.7
151.2,151
656.91,656.9
716,710-719.99
902.53,902.5
346.43,346.4
556.2,556
366.23,366.2
825.35,825.3
536.4,536
351,350-359.99
21.21,21.2
90.05,90.0
V30,V30-V39.99
230.9,230
655.00,655.0
250.7,250
173.5,173
590.8,590
90.62,90.6
33.6,33
480.0,480
45.7,45
295.9,295
E834.7,E834
E834.5,E834
18.39,18.3
364.11,364.1
550.93,550.9
618.03,618.0
E950.6,E950
812.1,812
E979.5,E979
98.0,98
60-64.99,00-99.99
344.61,344.6
346.73,346.7
21,21-29.99
483.1,483
863.56,863.5
E936.1,E936
015.83,015.8
765.24,765.2
154.3,154
063.0,063
942.00,942.0
90.65,90.6
868.10,868.1
922.9,922
637.62,637.6
253.8,253
738.2,738
7,1
75.35,75.3
593.9,593
662.11,662.1
V86.1,V86
162.5,162
88.82,88.8
86.84,86.8
18.9,18
75.92,75.9
371.22,371.2
22.61,22.6
371.24,371.2
477.9,477
34.71,34.7
E968.8,E968
00.70,00.7
730.81,730.8
655.30,655.3
635.50,635.5
525.4,525
852.26,852.2
242.10,242.1
011.62,011.6
011.64,011.6
801.1,801
82.42,82.4
131.00,131.0
E815.4,E815
E931.3,E931
51.02,51.0
361.0,361
526.61,526.6
97.13,97.1
819,810-819.99
06.1,06
07.01,07.0
201.77,201.7
948.0,948
346.82,346.8
032.2,032
945.12,945.1
V69.0,V69
696.2,696
54.51,54.5
582.9,582
277.84,277.8
40.19,40.1
V75.1,V75
378.4,378
39.21,39.2
651.13,651.1
651.11,651.1
823.4,823
V77.2,V77
V57.4,V57
236.90,236.9
360.24,360.2
807.09,807.0
202.95,202.9
718.7,718
389.7,389
764.08,764.0
302.51,302.5
76.75,76.7
116,110-118.99
376.46,376.4
295.52,295.5
52.86,52.8
86.87,86.8
E858.8,E858
764.06,764.0
012.80,012.8
E913.2,E913
232,230-234.99
911.9,911
209.32,209.3
E920.8,E920
209.41,209.4
049.9,049
39.81,39.8
808,805-809.99
441.3,441
730.25,730.2
12.43,12.4
363.34,363.3
48.42,48.4
39,35-39.99
81.27,81.2
722.93,722.9
488.82,488.8
793.9,793
E908.9,E908
376.6,376
378.00,378.0
112.5,112
E919.6,E919
E919.4,E919
823.00,823.0
93.94,93.9
804.2,804
302.81,302.8
619.2,619
654.23,654.2
996.45,996.4
367.4,367
414,410-414.99
203.01,203.0
V44.3,V44
085,080-088.99
656.33,656.3
718.00,718.0
50.22,50.2
812.4,812
378.7,378
880.22,880.2
880.20,880.2
327.53,327.5
018.8,018
40-41.99,00-99.99
V54.82,V54.8
749.10,749.1
E015.1,E015
770.1,770
787.01,787.0
098.11,098.1
799.89,799.8
134.8,134
098.13,098.1
E803.2,E803
173.51,173.5
676.00,676.0
410.5,410
750.6,750
38.66,38.6
944.26,944.2
013.0,013
E854.0,E854
69.02,69.0
93.0,93
794.09,794.0
654.53,654.5
345.8,345
098.43,098.4
851.49,851.4
711.91,711.9
45.29,45.2
711.93,711.9
34.21,34.2
92.2,92
V27.2,V27
305.93,305.9
46.31,46.3
577.2,577
237.1,237
59.94,59.9
25.93,25.9
200.30,200.3
279.2,279
802.28,802.2
532.11,532.1
06.7,06
63.72,63.7
673.82,673.8
V49.5,V49
802.26,802.2
228.03,228.0
242.40,242.4
296.55,296.5
E838,E830-E838.9
635.91,635.9
074,070-079.99
362.18,362.1
362.16,362.1
V12.72,V12.7
V12.70,V12.7
707.00,707.0
007.8,007
946.2,946
015.25,015.2
945.42,945.4
777,764-779.99
123.8,123
694.4,694
E937.5,E937
296.99,296.9
89.47,89.4
8,7
362.22,362.2
901.4,901
378.44,378.4
664.41,664.4
091.4,091
51,42-54.99
913.9,913
94.43,94.4
521.25,521.2
719.92,719.9
719.90,719.9
013.62,013.6
013.60,013.6
48.99,48.9
974,960-979.99
871.6,871
320.8,320
29.53,29.5
728.0,728
794.4,794
E835.4,E835
V16.52,V16.5
363.0,363
95.23,95.2
V59.4,V59
221.0,221
V46.14,V46.1
93.25,93.2
012,010-018.99
V58.62,V58.6
05.11,05.1
17.21,17.2
E933.2,E933
48.9,48
584.9,584
653.11,653.1
671.22,671.2
510-519.99,460-519.99
016.90,016.9
88.60,88.6
E895,E890-E899.9
86.62,86.6
V10.12,V10.1
925-929.99,800-999.99
730.99,730.9
671.52,671.5
201.5,201
812.44,812.4
772.1,772
81.18,81.1
17,17-17.99
E823.2,E823
381.81,381.8
93.28,93.2
018.84,018.8
808.3,808
23.2,23
304.81,304.8
783.4,783
770.16,770.1
366.1,366
026.0,026
770.14,770.1
840.8,840
365.32,365.3
996.2,996
40.54,40.5
348.82,348.8
652.90,652.9
94.08,94.0
125.5,125
E805.1,E805
V09.71,V09.7
698.2,698
127.6,127
200.74,200.7
930-939.99,800-999.99
136.8,136
205.01,205.0
658.33,658.3
37.91,37.9
905.7,905
369.4,369
676.44,676.4
207.11,207.1
801.14,801.1
V48.4,V48
530.3,530
296.3,296
851.40,851.4
37.94,37.9
70.79,70.7
349.9,349
205.31,205.3
16.66,16.6
35.96,35.9
010.91,010.9
90.3,90
09.3,09
66.32,66.3
581.89,581.8
78.42,78.4
779,764-779.99
71.0,71
355.1,355
015.0,015
644.03,644.0
81.05,81.0
490,490-496.99
46.22,46.2
12.21,12.2
678.00,678.0
752.6,752
35-39.99,00-99.99
372.45,372.4
372.43,372.4
017.1,017
V87.49,V87.4
94.68,94.6
743.55,743.5
114.5,114
743.53,743.5
V80.0,V80
192,190-199.99
800.93,800.9
79.38,79.3
806.2,806
E939.4,E939
E939.2,E939
453.82,453.8
804.26,804.2
804.24,804.2
534.11,534.1
076,070-079.99
675.80,675.8
102.0,102
641.90,641.9
V17.6,V17
806.38,806.3
806.36,806.3
653.1,653
942.05,942.0
459.12,459.1
710.5,710
730.3,730
313.0,313
99.18,99.1
04.5,04
381.5,381
E979.8,E979
667.00,667.0
765.29,765.2
625.71,625.7
E926,E916-E928.9
052.7,052
323.52,323.5
799.24,799.2
V02.54,V02.5
804.56,804.5
V02.52,V02.5
V76.47,V76.4
943.21,943.2
423.8,423
094.8,094
239.1,239
579.2,579
868.13,868.1
93.72,93.7
V29.2,V29
596.55,596.5
596.53,596.5
08.43,08.4
V80.3,V80
201.12,201.1
482.39,482.3
806.5,806
718.18,718.1
389.18,389.1
013.04,013.0
534.9,534
013.06,013.0
302.0,302
E869.8,E869
478.71,478.7
995.54,995.5
81.65,81.6
E931.8,E931
370.5,370
88.2,88
E816,E810-E819.9
041.7,041
381.8,381
197.1,197
863.30,863.3
570-579.99,520-579.99
428.32,428.3
11.0,11
733.4,733
372.75,372.7
083.8,083
999.6,999
659.5,659
948.43,948.4
012.85,012.8
775.5,775
23.73,23.7
59.72,59.7
54.25,54.2
35.83,35.8
296.6,296
671.93,671.9
671.91,671.9
V09.7,V09
24.91,24.9
202.98,202.9
611.0,611
282.0,282
V10.81,V10.8
446.7,446
360.29,360.2
V89.03,V89.0
V89.01,V89.0
00.01,00.0
790.9,790
803.49,803.4
56,55-59.99
282.3,282
87-99.99,00-99.99
712.17,712.1
821.20,821.2
016.51,016.5
76.91,76.9
45.51,45.5
79.52,79.5
974.0,974
010.9,010
8,7
324,320-326.99
645.2,645
305.1,305
611.3,611
451.89,451.8
440,440-449.99
E919.9,E919
026,020-027.99
77.87,77.8
534.50,534.5
518.89,518.8
710.8,710
364.57,364.5
364.55,364.5
142,140-149.99
381.10,381.1
940.1,940
600.0,600
223.81,223.8
88.13,88.1
729,725-729.99
379.21,379.2
041.00,041.0
379.23,379.2
271.0,271
V61.1,V61
901.41,901.4
200.35,200.3
200.33,200.3
288.00,288.0
V26.49,V26.4
733.02,733.0
733.00,733.0
943.2,943
603.1,603
V83.02,V83.0
65.64,65.6
E872.6,E872
803.79,803.7
189.2,189
E865.0,E865
614.4,614
79.55,79.5
11.53,11.5
634.2,634
941.28,941.2
078.1,078
941.26,941.2
801.70,801.7
847.0,847
379.51,379.5
268.9,268
137-139.99,001-139.99
790.22,790.2
201.51,201.5
733.7,733
V91-V91.99,V01-V91.99
131,130-136.99
797-799.99,780-799.99
716.50,716.5
31.7,31
659.10,659.1
529.2,529
820.02,820.0
995.86,995.8
386.34,386.3
404.9,404
386.32,386.3
942.44,942.4
77.74,77.7
V45.11,V45.1
11.6,11
955.7,955
718,710-719.99
904.53,904.5
904.51,904.5
957.8,957
813.21,813.2
E993.1,E993
E993.3,E993
95.3,95
286.9,286
37.31,37.3
791.3,791
752.61,752.6
82.99,82.9
998.13,998.1
190.9,190
525.44,525.4
E958.7,E958
83.2,83
008.61,008.6
06.95,06.9
996.89,996.8
094.81,094.8
331.8,331
305.4,305
V39.01,V39.0
805.03,805.0
16.1,16
805.01,805.0
584.6,584
033.8,033
807.15,807.1
518.2,518
807.13,807.1
076.0,076
660.6,660
595.9,595
255.8,255
257.9,257
664.11,664.1
E883.1,E883
385.19,385.1
638.0,638
618.2,618
942.1,942
39.99,39.9
220,210-229.99
273.0,273
V63.1,V63
253.2,253
941.32,941.3
941.30,941.3
746.86,746.8
524.00,524.0
524.02,524.0
864.12,864.1
309.2,309
442,440-449.99
453.87,453.8
V74.4,V74
792.9,792
104,100-104.99
786.03,786.0
38.46,38.4
976.0,976
748.8,748
4,3
370.54,370.5
383.8,383
77.62,77.6
07.41,07.4
801.19,801.1
634.82,634.8
800.1,800
735.4,735
00.58,00.5
34.59,34.5
21.86,21.8
55.87,55.8
199.1,199
719.09,719.0
42.81,42.8
574.41,574.4
E823.7,E823
E823.5,E823
54.91,54.9
51.42,51.4
85.43,85.4
746.7,746
733.44,733.4
200.77,200.7
031.2,031
V57.9,V57
372.10,372.1
740,740-759.99
490-496.99,460-519.99
944.42,944.4
83.32,83.3
947.3,947
607.2,607
388.32,388.3
242.2,242
364.6,364
653.53,653.5
V43.6,V43
202.33,202.3
42.84,42.8
320-326.99,320-389.99
V42.84,V42.8
14.2,14
V42.82,V42.8
737.10,737.1
965.0,965
719.39,719.3
945.2,945
493.02,493.0
41.09,41.0
532.31,532.3
599.7,599
301.83,301.8
115.01,115.0
836.60,836.6
E939.9,E939
88.57,88.5
807,805-809.99
010.94,010.9
800.4,800
77.65,77.6
379.09,379.0
020.2,020
84.28,84.2
377.02,377.0
715.9,715
386.9,386
046.8,046
571.0,571
133,130-136.99
37.22,37.2
339.41,339.4
377.32,377.3
265.1,265
V21.3,V21
V01.5,V01
780.02,780.0
84.72,84.7
996.80,996.8
676.50,676.5
402.01,402.0
284,280-289.99
375.20,375.2
60.99,60.9
91.35,91.3
943.26,943.2
E829.9,E829
53.10,53.1
997.01,997.0
636.2,636
E885.0,E885
616.4,616
431,430-438.99
010.06,010.0
259.9,259
512.81,512.8
366.00,366.0
704.9,704
346.22,346.2
727.68,727.6
668.21,668.2
366.02,366.0
991.4,991
670.10,670.1
362.66,362.6
811.02,811.0
14.29,14.2
375.9,375
811.00,811.0
69.42,69.4
93.4,93
346.52,346.5
89.38,89.3
631.8,631
736.03,736.0
787.2,787
447.1,447
E953.0,E953
36.07,36.0
535.71,535.7
537.83,537.8
673.20,673.2
711.31,711.3
E930.3,E930
E930.5,E930
344.40,344.4
903.4,903
07.53,07.5
651.6,651
39.56,39.5
008.49,008.4
523.25,523.2
523.23,523.2
759.81,759.8
574.4,574
557.9,557
80.43,80.4
789.45,789.4
789.43,789.4
02.41,02.4
E937,E930-E949.9
987,980-989.99
642.53,642.5
333.8,333
998.89,998.8
276.4,276
E006.9,E006
852.03,852.0
814.12,814.1
223.0,223
960.6,960
337.29,337.2
852.05,852.0
E004.1,E004
637.41,637.4
620.5,620
26.9,26
83.92,83.9
07.6,07
291.8,291
915.0,915
E843.0,E843
E802.2,E802
202.72,202.7
79.2,79
662.20,662.2
360.01,360.0
V35.00,V35.0
892.2,892
552.1,552
532.3,532
93.03,93.0
02.0,02
784.60,784.6
427.6,427
716.53,716.5
654.7,654
098.6,098
01.2,01
371.33,371.3
165,160-165.99
371.31,371.3
426.82,426.8
223.3,223
78.99,78.9
730.90,730.9
146.1,146
960.9,960
620.8,620
861.1,861
521.0,521
59.00,59.0
015.60,015.6
E827,E826-E829.9
765.01,765.0
765.03,765.0
01.26,01.2
35.11,35.1
017.72,017.7
976,960-979.99
821.23,821.2
803.14,803.1
803.12,803.1
295.31,295.3
209.11,209.1
V85.41,V85.4
90.42,90.4
388.71,388.7
V49.60,V49.6
259.50,259.5
70.54,70.5
724.79,724.7
555.2,555
104.0,104
327.32,327.3
44.32,44.3
521.3,521
361.89,361.8
807.18,807.1
036.43,036.4
E865.5,E865
779.3,779
532.6,532
730.04,730.0
91.82,91.8
48.61,48.6
850.1,850
510.0,510
772.14,772.1
E004,E001-E030.9
201.56,201.5
89.25,89.2
55.24,55.2
785.4,785
878.8,878
47,42-54.99
192.3,192
35.14,35.1
01.13,01.1
V82.0,V82
942.49,942.4
747.63,747.6
V82.3,V82
094.86,094.8
5,0
851.26,851.2
55.84,55.8
094.84,094.8
711.70,711.7
636.62,636.6
33.93,33.9
524.4,524
203.10,203.1
12.65,12.6
433.1,433
536.9,536
77.18,77.1
V23.81,V23.8
96.48,96.4
289.53,289.5
V43.61,V43.6
19.2,19
655.1,655
748.5,748
42.21,42.2
768.3,768
654.32,654.3
654.30,654.3
21.9,21
296.34,296.3
V50.42,V50.4
203.8,203
637.80,637.8
150.2,150
71.72,71.7
805.08,805.0
492,490-496.99
867.8,867
E842.8,E842
374.43,374.4
085.5,085
015.04,015.0
346.91,346.9
297.1,297
V71.0,V71
945.21,945.2
80.00,80.0
E849.2,E849-E849.9
011.71,011.7
402.0,402
802.35,802.3
045.93,045.9
716.94,716.9
231,230-234.99
910.9,910
362.27,362.2
66.79,66.7
649.0,649
296.64,296.6
150.5,150
34.5,34
V74.1,V74
130.7,130
284.0,284
84.25,84.2
360.0,360
31.98,31.9
201.95,201.9
96.35,96.3
E917.2,E917
969.05,969.0
661.43,661.4
115,110-118.99
V85.4,V85
08.21,08.2
372.5,372
V19.0,V19
730.34,730.3
209.50,209.5
062.0,062
941.02,941.0
759.8,759
941.00,941.0
574.11,574.1
363.43,363.4
560.39,560.3
305.72,305.7
07.19,07.1
86.3,86
460-466.99,460-519.99
519.01,519.0
014.83,014.8
19.29,19.2
V68.9,V68
016.95,016.9
016.93,016.9
764.26,764.2
764.24,764.2
E990.9,E990
381.60,381.6
82.55,82.5
174.5,174
V31,V30-V39.99
194.3,194
E007.4,E007
804.91,804.9
V58.71,V58.7
658.10,658.1
660.01,660.0
886.0,886
89.1,89
32.09,32.0
669.40,669.4
728.89,728.8
717,710-719.99
669.42,669.4
730.78,730.7
671.31,671.3
523.3,523
863.4,863
352,350-359.99
79.92,79.9
45.91,45.9
718.53,718.5
610.3,610
600-608.99,580-629.99
373.31,373.3
770.81,770.8
76.43,76.4
656.7,656
962.9,962
130,130-136.99
852.1,852
25,21-29.99
654.74,654.7
V06.9,V06
V67.59,V67.5
V20,V20-V29.99
580.8,580
299.1,299
17.39,17.3
751.61,751.6
200.83,200.8
676.53,676.5
835.13,835.1
526.4,526
279.03,279.0
V71.02,V71.0
724.03,724.0
42.12,42.1
528.5,528
20.21,20.2
54.22,54.2
78.77,78.7
038.43,038.4
038.41,038.4
985.8,985
625.9,625
378.53,378.5
521.34,521.3
51.39,51.3
E885.3,E885
806.15,806.1
517.2,517
152.2,152
89.03,89.0
55.02,55.0
53.04,53.0
31.29,31.2
779.34,779.3
743.32,743.3
077.1,077
87.95,87.9
652.11,652.1
743.62,743.6
288.1,288
51.99,51.9
V78.2,V78
85.84,85.8
054.74,054.7
796.7,796
844.2,844
054.72,054.7
718.92,718.9
31.73,31.7
765.08,765.0
765.06,765.0
E868.8,E868
756.83,756.8
720.81,720.8
880.19,880.1
E930.8,E930
96.26,96.2
912.9,912
804.35,804.3
804.33,804.3
233,230-234.99
583.9,583
058.8,058
790.3,790
614.9,614
093.81,093.8
309.82,309.8
285.9,285
32.6,32
12.5,12
646.91,646.9
07.82,07.8
249.41,249.4
94.45,94.4
287.32,287.3
018.93,018.9
943.00,943.0
315.02,315.0
121.4,121
38.34,38.3
E996.9,E996
555-558.99,520-579.99
365.43,365.4
365.41,365.4
756.0,756
621.31,621.3
943.30,943.3
368.4,368
E843.5,E843
005.81,005.8
813.4,813
206.11,206.1
800.16,800.1
V86-V86.99,V01-V91.99
800.14,800.1
V47.4,V47
202.77,202.7
524.76,524.7
V10.60,V10.6
238.79,238.7
949.0,949
380.81,380.8
824.7,824
51.86,51.8
E813.2,E813
222,210-229.99
342.90,342.9
901.9,901
823.92,823.9
84.1,84
96.2,96
38.37,38.3
013.13,013.1
362.0,362
V49.65,V49.6
E825.4,E825
649.04,649.0
739.5,739
663.41,663.4
110.4,110
018.05,018.0
952.18,952.1
790.6,790
304.02,304.0
V85.44,V85.4
97.0,97
58.47,58.4
802.1,802
49.29,49.2
070.33,070.3
E886.9,E886
372.54,372.5
372.52,372.5
E982.1,E982
E941.3,E941
20,18-20.99
075,070-079.99
802.4,802
676.92,676.9
640.90,640.9
520,520-529.99
870.9,870
379.00,379.0
69.99,69.9
453.6,453
327.37,327.3
96.70,96.7
022.2,022
191,190-199.99
E988.3,E988
949.3,949
695.4,695
533.11,533.1
948.54,948.5
948.52,948.5
62.12,62.1
351.0,351
536.41,536.4
516.61,516.6
06.01,06.0
652.41,652.4
18.11,18.1
366.46,366.4
V76.4,V76
85.87,85.8
366.44,366.4
309.24,309.2
53.51,53.5
87.52,87.5
090.7,090
E994,E990-E999.9
84.03,84.0
323.61,323.6
339.85,339.8
339.83,339.8
81.42,81.4
809,805-809.99
782.4,782
250.53,250.5
250.51,250.5
993.4,993
102.5,102
711.75,711.7
012.06,012.0
045.1,045
180,179-189.99
907.2,907
942.23,942.2
368.00,368.0
364.64,364.6
238.1,238
V28.2,V28
781.94,781.9
813.00,813.0
598.0,598
767,764-779.99
805.5,805
249.4,249
269.2,269
200.12,200.1
064,060-066.99
11.43,11.4
099.41,099.4
995.63,995.6
655.53,655.5
79.45,79.4
V45.6,V45
852.49,852.4
795.09,795.0
E904.1,E904
348.9,348
008.8,008
97.6,97
V43.66,V43.6
V43.64,V43.6
38.81,38.8
04.80,04.8
771.4,771
354.1,354
014.0,014
17.53,17.5
E849.7,E849-E849.9
320.2,320
V88.03,V88.0
565.1,565
17.56,17.5
539.81,539.8
201.60,201.6
33.21,33.2
91.2,91
337.20,337.2
736.79,736.7
854.03,854.0
411.8,411
982.4,982
820.11,820.1
706.0,706
79.32,79.3
227.1,227
567.2,567
333.84,333.8
669.8,669
996.66,996.6
942.53,942.5
525.23,525.2
V26.4,V26
996.68,996.6
13.11,13.1
386.43,386.4
386.41,386.4
653.6,653
238.4,238
80.87,80.8
V28.5,V28
E917.9,E917
373.01,373.0
44.29,44.2
764.29,764.2
675.9,675
803.56,803.5
295.75,295.7
209.55,209.5
295.73,295.7
209.53,209.5
V21.34,V21.3
941.05,941.0
337.9,337
343.1,343
003.0,003
V22.1,V22
666.00,666.0
37.66,37.6
04.9,04
V91.10,V91.1
896.0,896
49.76,49.7
805.10,805.1
249.00,249.0
805.12,805.1
521.04,521.0
87.35,87.3
533.50,533.5
873.62,873.6
036.89,036.8
E863.0,E863
711.19,711.1
658.8,658
33.24,33.2
727.01,727.0
293.8,293
362.01,362.0
8,7
206.82,206.8
270.0,270
56.99,56.9
919.1,919
985.5,985
664.20,664.2
25.59,25.5
200.42,200.4
787.24,787.2
60.61,60.6
E928.2,E928
196.1,196
37.6,37
715.38,715.3
94.62,94.6
753.29,753.2
91.13,91.1
641.1,641
301.0,301
576.4,576
32.41,32.4
012.36,012.3
941.37,941.3
90.33,90.3
57.79,57.7
863.1,863
312.3,312
862.32,862.3
E806,E800-E807.9
25.5,25
874.4,874
712.13,712.1
783.1,783
646.50,646.5
806.06,806.0
648,640-649.99
403.11,403.1
851.8,851
283,280-289.99
039.1,039
902.26,902.2
16.7,16
800.61,800.6
77.37,77.3
800.63,800.6
12.31,12.3
381.89,381.8
201.2,201
663.90,663.9
49,42-54.99
804.82,804.8
553.8,553
136.5,136
676.14,676.1
130-136.99,001-139.99
300.00,300.0
944.38,944.3
804.80,804.8
229.9,229
93.82,93.8
17.5,17
40.51,40.5
365.02,365.0
904.2,904
524.07,524.0
916.7,916
6,4
81.15,81.1
726.71,726.7
941.35,941.3
202.38,202.3
524.37,524.3
V10.21,V10.2
786.2,786
446.1,446
581,580-589.99
752.3,752
590.80,590.8
999.0,999
249.30,249.3
569.62,569.6
69.59,69.5
88.89,88.8
646.82,646.8
646.80,646.8
369.08,369.0
93.85,93.8
959.13,959.1
923.11,923.1
780.95,780.9
151.9,151
216.8,216
79.02,79.0
45.01,45.0
556.9,556
218.9,218
V91.0,V91
94.65,94.6
674.32,674.3
372.13,372.1
083.2,083
621.6,621
35.93,35.9
16.63,16.6
775.2,775
755.4,755
324.0,324
935,930-939.99
88.23,88.2
E860.0,E860
570,570-579.99
E804.9,E804
361.13,361.1
79.05,79.0
754.62,754.6
843.9,843
00.11,00.1
V77.9,V77
174.8,174
999.3,999
979.5,979
V85.37,V85.3
V85.35,V85.3
23.70,23.7
57.71,57.7
140.9,140
E827.4,E827
381.2,381
078.19,078.1
99.15,99.1
E817,E810-E819.9
668.24,668.2
30.4,30
11.1,11
0,7
874.00,874.0
339.44,339.4
718.83,718.8
77.97,77.9
77.81,77.8
E890.3,E890
801.8,801
11.7,11
744.4,744
87.08,87.0
E912,E910-E915.9
E994.3,E994
84.47,84.4
124,120-129.99
041.4,041
881.11,881.1
E994.1,E994
375.55,375.5
V41.0,V41
153,150-159.99
198.82,198.8
968.5,968
534.20,534.2
017.75,017.7
65.74,65.7
99.75,99.7
250.12,250.1
43.99,43.9
77.84,77.8
81.62,81.6
800.05,800.0
206.02,206.0
651.81,651.8
398.9,398
V09.4,V09
446.4,446
786.5,786
426.6,426
V10.51,V10.5
53.42,53.4
V10.89,V10.8
202.68,202.6
342.81,342.8
733.1,733
995.24,995.2
304.90,304.9
24.6,24
370.2,370
293.0,293
43.9,43
451,451-459.99
730.95,730.9
712.84,712.8
712.82,712.8
461.8,461
635.62,635.6
869.0,869
755.00,755.0
204.22,204.2
29.19,29.1
848.42,848.4
345.91,345.9
985.0,985
48.49,48.4
812.40,812.4
055.8,055
464.11,464.1
656.2,656
945.15,945.1
V58.7,V58
76.69,76.6
713.6,713
E866.2,E866
E866.0,E866
64.94,64.9
09.9,09
V13.63,V13.6
V13.61,V13.6
012.83,012.8
11.63,11.6
320.89,320.8
037,030-041.99
640.81,640.8
363.07,363.0
780.39,780.3
E890,E890-E899.9
719.21,719.2
V62.84,V62.8
373.3,373
32.01,32.0
426.9,426
209.14,209.1
V72.1,V72
V52.3,V52
299.00,299.0
873.21,873.2
873.23,873.2
373.6,373
V91.01,V91.0
86.72,86.7
801.40,801.4
744.00,744.0
295.64,295.6
614.1,614
V27.9,V27
736.5,736
E934.2,E934
900.02,900.0
646.11,646.1
97.64,97.6
250.42,250.4
E918,E916-E928.9
99.62,99.6
V79,V70-V82.99
643.91,643.9
279.9,279
V02.61,V02.6
942.14,942.1
942.12,942.1
711.66,711.6
386.02,386.0
V30.0,V30
37.41,37.4
V10.2,V10
580.0,580
727.50,727.5
285.1,285
95.33,95.3
93.35,93.3
362.3,362
682.6,682
64,60-64.99
17.31,17.3
V41.3,V41
200.03,200.0
251.2,251
52.14,52.1
608.9,608
643.93,643.9
015.95,015.9
944.08,944.0
V58.32,V58.3
V58.30,V58.3
V76.43,V76.4
749.22,749.2
749.24,749.2
V81,V70-V82.99
384.20,384.2
384.22,384.2
806.62,806.6
84.94,84.9
779.83,779.8
669.03,669.0
669.01,669.0
730.39,730.3
730.37,730.3
103,100-104.99
93.38,93.3
93.22,93.2
342.8,342
8,7
996,996-999.99
E824.2,E824
675.11,675.1
660.3,660
428.41,428.4
583.1,583
716.88,716.8
698,690-698.99
011.76,011.7
996.57,996.5
331.5,331
06.92,06.9
996.59,996.5
09.53,09.5
779.81,779.8
V89-V89.99,V01-V91.99
E806.1,E806
127.0,127
V10.5,V10
E840.5,E840
752.69,752.6
E917.7,E917
127.3,127
8,0
V77.91,V77.9
718.44,718.4
718.42,718.4
0,8
E992.9,E992
945.56,945.5
013.30,013.3
945.54,945.5
819.0,819
999.69,999.6
401,401-405.99
794.1,794
751.9,751
1,2
870.1,870
51.59,51.5
676.12,676.1
658.03,658.0
658.01,658.0
55-59.99,00-99.99
09.4,09
370.59,370.5
530.0,530
973.9,973
E958.5,E958
985,980-989.99
